Year_local,DOY,daytime,FC,LE,TA,RECO,GPP,SWC,TS
2022,175.6873,1,-14.7484,302.893,32.4091,12.661410258337176,27.40981025833717,19.040239,17.61
2022,175.7082,1,-11.70348,250.861,32.2063,12.59817537503987,24.30165537503987,18.985933,17.7
2022,175.729,1,-13.321,247.22,31.6173,12.432062989974636,25.75306298997464,18.892837,17.78
2022,175.7498,1,-6.08532,238.916,31.9184,12.503130889125782,18.58845088912578,18.811378,17.86
2022,175.7707,1,-6.05882,176.034,31.1771,12.296489126249984,18.355309126249985,18.706644999999998,17.96
2022,175.7915,1,-1.311763333,91.4484,30.672,12.152654012985687,13.464417346319022,18.594154,18.07
2022,175.8123,1,8.20885,86.5972,30.3047,12.045590604479576,3.836740604479576,18.501058,18.19
2022,175.8332,1,3.586093,89.0228,28.3515,11.512938518000128,7.926845518000128,18.407962,18.32
2022,175.854,0,8.754781466666667,38.55195333333334,25.9987,10.869243377531612,2.1144619108649447,18.314866,18.43
2022,175.8748,0,11.491215,63.69525,27.7474,11.333469129641037,-0.15774587,18.237286,18.54
2022,175.8956,0,9.670695,26.25335625,24.6308,10.482439802800744,0.8117448028007441,18.198496,18.65
2022,175.9165,0,11.92683125,31.554754166666665,27.675,11.29728407064142,-0.629547179,18.151948,18.75
2022,175.9373,0,8.487859529411764,33.44493529411765,24.8726,10.532510294529558,2.044650765117794,18.128674,18.85
2022,175.9581,0,11.9421196,25.9918748,27.5237,11.239953947002006,-0.702165653,18.113158,18.92
2022,175.979,0,8.203398875,32.7214625,24.1401,10.318572693015234,2.115173818015234,18.101521,19
2022,176,0,-11.9725325,193.98925,26.7097,11.004642267046316,22.977174767046314,18.101521,19.05
2022,176.0208,0,7.793360636363636,46.63570909090909,26.1022,10.833046955939842,3.039686319576206,18.120916,19.1
2022,176.0416,0,11.4399952,24.5721348,22.318,9.801981303813786,-1.638013896,18.136432,19.1
2022,176.0624,0,8.458937,34.5207375,24.8319,10.474827428890206,2.0158904288902058,18.136432,19.18
2022,176.0833,0,11.562455833333331,26.181005,21.0337,9.439099609563804,-2.123356224,18.163584999999998,19.2
2022,176.1041,0,9.732789375,25.40920625,23.3924,10.070829907320126,0.338040532,18.175221999999998,19.2
2022,176.1249,0,11.77700125,25.02972125,24.426,10.342178730191394,-1.43482252,18.179101,19.15
2022,176.1458,0,9.506911333333331,25.700788,20.9629,9.398887404986082,-0.108023928,18.175221999999998,19.1
2022,176.1666,0,12.295243333333334,27.05584238095238,24.0675,10.230292013558389,-2.06495132,18.210133,19.07
2022,176.1874,0,8.416689466666666,28.825406666666662,23.9349,10.18698440386805,1.7702949372013848,18.210133,19
2022,176.2083,1,11.393932608695652,27.39427043478261,23.8338,10.15219405093301,-1.241738558,18.214012,18.92
2022,176.2291,1,5.0798955,64.935125,24.182,10.238184698921476,5.158289198921476,18.233407,18.86
2022,176.2499,1,6.6733918333333335,37.785542,24.0577,10.197171393778335,3.5237795604450017,18.252802000000003,18.77
